区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,京城仁合 ,3室2厅,121.17,1200,99035,房本满五年,东南,精装,有电梯,中楼层(共16层)2004年建板塔结合,,-
东城,香饵胡同 ,3室1厅,81.68,1000,122429,房本满五年,西南北,精装,无,中楼层(共6层)2002年建板楼,,-
东城,东直门北大街 ,2室1厅,60.11,600,99818,房本满五年,南北,精装,有电梯,中楼层(共14层)1990年建板塔结合,,-
东城,金世纪嘉园 ,2室1厅,116.89,1010,86407,房本满五年,西南,精装,有电梯,中楼层(共21层)2003年建塔楼,,-
东城,东中街 ,3室1厅,77.82,720,92522,房本满五年,南北,简装,有电梯,中楼层(共14层)1988年建板楼,,-
东城,天天家园 ,2室1厅,102.06,730,71527,房本满五年,东南,精装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,华龙美晟 ,2室1厅,84,610,72620,房本满五年,西,简装,有电梯,底层(共12层)2009年建板塔结合,,-
东城,北官厅胡同甲二号院 ,4室1厅,91.71,1080,117763,房本满五年,南北,简装,无电梯,低楼层(共6层)1993年建板楼,,-
东城,兴隆都市馨园 ,2室1厅,78.37,815,103994,房本满五年,东南,精装,无电梯,中楼层(共6层)2003年建板塔结合,,-
东城,青年湖东里 ,2室1厅,55.42,530,95634,房本满五年,南北,精装,无电梯,底层(共6层)1988年建板楼,,-
东城,国瑞城中区 ,1室1厅,55.43,550,99225,房本满五年,北,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,左安漪园 ,2室1厅,121.9,1279,104923,房本满五年,南北,简装,有电梯,中楼层(共14层)2004年建板楼,,-
东城,中景濠庭 ,1室1厅,74.21,690,92980,房本满五年,北,精装,有电梯,低楼层(共22层)2001年建板塔结合,,-
东城,民安小区民安街 ,2室1厅,69.97,810,115764,房本满五年,南北,简装,无,高楼层(共6层)2002年建板楼,,-
东城,朝阳门北大街 ,3室1厅,70.44,600,85179,房本满五年,东北,简装,有电梯,低楼层(共16层)1987年建塔楼,,-
东城,北新桥三条 ,2室1厅,48.61,520,106974,房本满五年,南,简装,无,高楼层(共6层)1985年建板楼,,-
东城,十字坡东里 ,1室1厅,37.87,440,116187,房本满五年,南,精装,无电梯,中楼层(共5层)1986年建板楼,,-
东城,广渠家园 ,2室1厅,60.79,630,103636,房本满五年,南北,精装,有电梯,中楼层(共29层)2009年建板塔结合,,-
东城,安外大街 ,2室1厅,68.23,615,90137,房本满五年,东西,精装,有电梯,中楼层(共16层)1994年建板楼,,-
东城,兴化西里 ,3室2厅,62.91,600,95375,房本满五年,南,简装,无电梯,底层(共5层)1976年建板楼,,-
东城,东方银座 ,2室1厅,148.57,1060,71347,房本满五年,北,精装,有电梯,高楼层(共26层)2003年建塔楼,,-
东城,当代MOMA ,3室1厅,182.3,2000,109710,房本满五年,西北,精装,有电梯,中楼层(共21层)2008年建塔楼,,-
东城,海运仓小区 ,3室1厅,77.38,967,124968,房本满五年,东西,简装,无电梯,中楼层(共5层)2002年建板楼,,-
东城,万国城MOMA ,2室1厅,127.31,1350,106041,房本满五年,西北,精装,有电梯,低楼层(共25层)2002年建塔楼,,-
东城,雍和家园一期 ,3室1厅,171.06,1580,92366,房本满五年,东南北,精装,无,低楼层(共16层)板塔结合,,-
东城,和平里东街9号院 ,2室1厅,79.88,750,93891,房本满五年,东北,精装,有电梯,高楼层(共16层)2000年建塔楼,,-
东城,东直门内北小街16号 ,2室2厅,89.74,948,105639,房本满五年,东西,简装,有电梯,高楼层(共10层)2003年建板塔结合,,-
东城,景泰西里西区 ,2室1厅,85.67,620,72371,房本满五年,东南西,精装,有电梯,中楼层(共13层)2005年建板塔结合,,-
东城,新景家园西区 ,2室1厅,75.29,790,104928,房本满五年,南北,精装,有电梯,中楼层(共16层)2004年建板塔结合,,-
东城,禾风相府 ,1室0厅,46.24,560,121108,,西,精装,有电梯,中楼层(共14层)2004年建板楼,,-
东城,香饵胡同 ,2室1厅,69.14,880,127278,房本满五年,南北,简装,无电梯,低楼层(共6层)2002年建板楼,,-
东城,什锦花园胡同21号院 ,3室1厅,62.72,800,127552,房本满五年,南北,简装,无电梯,中楼层(共5层)1985年建板楼,,-
东城,民安小区东直门北中街 ,2室1厅,71.17,829,116482,房本满五年,东,精装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,绿景馨园 ,2室1厅,70.38,698,99176,房本满五年,南北,精装,无电梯,中楼层(共6层)2004年建板楼,,-
东城,新景家园西区 ,3室1厅,88.72,1000,112715,房本满五年,南,精装,无电梯,中楼层(共6层)2004年建板塔结合,,-
东城,海运仓南里一区 ,2室1厅,78.14,800,102381,房本满五年,东西,其他,无电梯,底层(共6层)1998年建板楼,,-
东城,华龙美晟 ,2室1厅,90.52,650,71808,房本满五年,西,精装,有电梯,高楼层(共12层)2009年建板塔结合,,-
东城,青年湖北里 ,3室1厅,112.08,1150,102606,房本满五年,西南,精装,有电梯,底层(共18层)1999年建塔楼,,-
东城,广渠家园 ,2室2厅,71.43,642,89879,房本满五年,东,毛坯,有电梯,高楼层(共29层)2009年建板塔结合,,-
东城,胡家园小区 ,3室1厅,73.59,610,82892,房本满五年,东北,简装,有电梯,高楼层(共17层)1991年建塔楼,,-
东城,本家润园三期 ,1室1厅,50.86,508,99883,房本满五年,北,精装,有电梯,低楼层(共18层)2005年建板塔结合,,-
东城,海运仓小区 ,1室1厅,60.54,700,115627,房本满五年,西,简装,有电梯,中楼层(共8层)2003年建板楼,,-
东城,琉璃寺胡同 ,3室1厅,68.54,700,102131,房本满五年,南北,精装,无电梯,低楼层(共6层)1998年建板楼,,-
东城,豆瓣胡同 ,1室1厅,47.99,685,142739,房本满五年,东,其他,有电梯,中楼层(共21层)2003年建板楼,,-
东城,广渠家园 ,1室1厅,51.27,470,91672,房本满五年,西,精装,无,高楼层(共29层)2009年建板塔结合,,-
东城,花市枣苑一期 ,2室2厅,108.24,1280,118256,房本满五年,南,简装,有电梯,中楼层(共18层)2001年建塔楼,,-
东城,天娇园 ,3室1厅,97.58,1020,104530,房本满五年,西,简装,有电梯,低楼层(共11层)2008年建板塔结合,,-
